date,equity_backtest,equity_paper,diff,ratio
2024-05-21,86726.76144389714,95078.3616043038,8351.60016040667,1.0962978441874514
2024-05-22,85078.18403337305,93272.63894226338,8194.45490889033,1.0963167585438347
2024-05-23,84156.42124094782,92267.7720311649,8111.350790217082,1.0963842172778893
2024-05-24,83504.46039845188,91548.27023345372,8043.809835001841,1.096327906277339
2024-05-25,84080.40832425252,92179.65006340283,8099.241739150311,1.0963273359462757
2024-05-26,83190.854505619,91204.43858882975,8013.58408321075,1.096327704900176
2024-05-27,88184.01203837909,96676.0537331336,8492.041694754502,1.0962991079500741
2024-05-28,86874.48084674835,96163.37122860644,9288.890381858087,1.1069231181737273
2024-05-29,86157.63844749726,95318.85213305264,9161.213685555384,1.1063308355548538
2024-05-30,84970.96130045278,94008.71283164578,9037.751531193004,1.1063628255214861
2024-05-31,85544.92410483203,94395.39130633757,8850.46720150554,1.1034598755463227
2024-06-01,86125.06415017857,94968.2415004198,8843.177350241225,1.1026783252645378
2024-06-02,85146.70941871309,93763.02613297476,8616.316714261673,1.1011937721737493
2024-06-03,84238.65879163338,93093.08171561523,8854.422923981852,1.1051111574067616
2024-06-04,86109.81605276297,94556.96617630684,8447.150123543877,1.098097412243547
2024-06-05,86922.7119261776,95658.83724113824,8736.12531496065,1.1005045185702458
2024-06-06,86057.3724682277,94905.60789477506,8848.23542654737,1.1028178664159671
2024-06-07,84411.73092496576,91414.88695282422,7003.156027858466,1.0829642509532664
2024-06-08,84368.80632488483,91368.18426837832,6999.377943493484,1.0829616803696438
2024-06-09,84053.9467752509,91024.5464385582,6970.599663307308,1.082930069684244
2024-06-10,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-11,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-12,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-13,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-14,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-15,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-16,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-17,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-18,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-19,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-20,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-21,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-22,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-23,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-24,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-25,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-26,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-27,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-28,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-29,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-06-30,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-07-01,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-07-02,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-07-03,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-07-04,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-07-05,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-07-06,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-07-07,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-07-08,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-07-09,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-07-10,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-07-11,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-07-12,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-07-13,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-07-14,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-07-15,78071.50390670035,84578.71169663177,6507.207789931417,1.0833493331665274
2024-07-16,80313.44348057735,86554.51110407512,6241.067623497773,1.0777088785267572
2024-07-17,81483.78092689933,87826.37019556112,6342.589268661788,1.0778386716535877
2024-07-18,78738.17741433575,84894.78612402122,6156.608709685475,1.078190896866817
2024-07-19,81509.55672596891,87832.84992304759,6323.293197078674,1.0775773228449428
2024-07-20,82694.30629721635,88776.09461826253,6081.788321046188,1.0735454300709324
2024-07-21,85087.28128964611,91515.76727108816,6428.485981442049,1.0755516674643628
2024-07-22,83687.45255913178,89587.57924042136,5900.126681289577,1.070501927121281
2024-07-23,80496.02656384336,86178.86473184748,5682.83816800412,1.0705977476229454
2024-07-24,80796.32955705195,84949.9779606256,4153.64840357365,1.0514088749618344
2024-07-25,78383.48579108852,82417.10753810758,4033.6217470190604,1.0514600965536245
2024-07-26,81285.47479258355,85693.60232126543,4408.127528681871,1.0542301996750354
2024-07-27,80927.82351569501,85297.22405120693,4369.400535511915,1.0539913264152534
2024-07-28,80594.63862269712,85050.8604912421,4456.221868544977,1.055291790430462
2024-07-29,79604.96528602614,83927.4438662283,4322.478580202165,1.0542991076583126
2024-07-30,80115.50681361677,84204.02149332773,4088.514679710963,1.0510327506162147
2024-07-31,78161.38769606358,82167.37203714646,4005.984341082876,1.0512527279666586
2024-08-01,75764.33543839362,80505.89719089921,4741.561752505586,1.0625830309877278
2024-08-02,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
